corpus,name,schema,constructor,positive_nodes
Coq root values,bertrand_ballot,all normalized constructors,Coq:Fix,6
Coq root values,bertrand_ballot,shared binary core,App,1523
Coq root values,bertrand_ballot,shared binary core,Lam,227
Coq root values,bertrand_ballot,shared binary core,Pi,26
Coq root values,bertrand_ballot,shared binary core,Let,28
Coq root values,binomial,all normalized constructors,App,1990
Coq root values,binomial,all normalized constructors,Lam,152
Coq root values,binomial,all normalized constructors,Let,71
Coq root values,binomial,all normalized constructors,Cast,43
Coq root values,binomial,all normalized constructors,Pi,10
Coq root values,binomial,shared binary core,App,1990
Coq root values,binomial,shared binary core,Lam,152
Coq root values,binomial,shared binary core,Let,71
Coq root values,binomial,shared binary core,Pi,10
Coq root values,birthday_paradox,all normalized constructors,App,490
Coq root values,birthday_paradox,all normalized constructors,Pi,5
Coq root values,birthday_paradox,all normalized constructors,Lam,10
Coq root values,birthday_paradox,all normalized constructors,Coq:CaseMatch,1
Coq root values,birthday_paradox,all normalized constructors,Coq:CaseBranches,1
Coq root values,birthday_paradox,all normalized constructors,Coq:Case,1
Coq root values,birthday_paradox,all normalized constructors,Let,2
Coq root values,birthday_paradox,all normalized constructors,Cast,1
Coq root values,birthday_paradox,shared binary core,App,490
Coq root values,birthday_paradox,shared binary core,Pi,5
Coq root values,birthday_paradox,shared binary core,Lam,10
Coq root values,birthday_paradox,shared binary core,Let,2
Coq root values,card_powerset,all normalized constructors,App,651
Coq root values,card_powerset,all normalized constructors,Cast,4
Coq root values,card_powerset,all normalized constructors,Lam,83
Coq root values,card_powerset,all normalized constructors,Pi,32
Coq root values,card_powerset,all normalized constructors,Coq:Sort,1
Coq root values,card_powerset,all normalized constructors,Coq:CaseMatch,2
Coq root values,card_powerset,all normalized constructors,Coq:CaseBranches,2
Coq root values,card_powerset,all normalized constructors,Coq:Case,3
Coq root values,card_powerset,all normalized constructors,Let,2
Coq root values,card_powerset,shared binary core,App,651
Coq root values,card_powerset,shared binary core,Lam,83
Coq root values,card_powerset,shared binary core,Pi,32
Coq root values,card_powerset,shared binary core,Let,2
Coq root values,div3,all normalized constructors,Pi,1
Coq root values,div3,all normalized constructors,App,157
Coq root values,div3,all normalized constructors,Lam,12
Coq root values,div3,all normalized constructors,Let,3
Coq root values,div3,shared binary core,Pi,1
Coq root values,div3,shared binary core,App,157
Coq root values,div3,shared binary core,Lam,12
Coq root values,div3,shared binary core,Let,3
Coq root values,divisors_correct,all normalized constructors,App,3496
Coq root values,divisors_correct,all normalized constructors,Lam,494
Coq root values,divisors_correct,all normalized constructors,Pi,184
Coq root values,divisors_correct,all normalized constructors,Coq:Sort,1
Coq root values,divisors_correct,all normalized constructors,Coq:CaseMatch,18
Coq root values,divisors_correct,all normalized constructors,Coq:CaseBranches,26
Coq root values,divisors_correct,all normalized constructors,Coq:Case,29
Coq root values,divisors_correct,all normalized constructors,Cast,17
Coq root values,divisors_correct,all normalized constructors,Let,1
Coq root values,divisors_correct,shared binary core,App,3496
Coq root values,divisors_correct,shared binary core,Lam,494
Coq root values,divisors_correct,shared binary core,Pi,184
Coq root values,divisors_correct,shared binary core,Let,1
Coq root values,edivpP,all normalized constructors,App,123
Coq root values,edivpP,all normalized constructors,Lam,10
Coq root values,edivpP,all normalized constructors,Coq:Sort,1
Coq root values,edivpP,all normalized constructors,Coq:CaseMatch,1
Coq root values,edivpP,all normalized constructors,Pi,1
Coq root values,edivpP,all normalized constructors,Coq:CaseBranches,1
Coq root values,edivpP,all normalized constructors,Coq:Case,1
Coq root values,edivpP,shared binary core,App,123
Coq root values,edivpP,shared binary core,Lam,10
Coq root values,edivpP,shared binary core,Pi,1
Coq root values,fun_power_series_conv_IR,all normalized constructors,App,436
Coq root values,fun_power_series_conv_IR,all normalized constructors,Lam,35
Coq root values,fun_power_series_conv_IR,all normalized constructors,Pi,18
Coq root values,fun_power_series_conv_IR,all normalized constructors,Coq:CaseMatch,3
Coq root values,fun_power_series_conv_IR,all normalized constructors,Coq:CaseBranches,3
Coq root values,fun_power_series_conv_IR,all normalized constructors,Coq:Case,3
Coq root values,fun_power_series_conv_IR,all normalized constructors,Let,2
Coq root values,fun_power_series_conv_IR,all normalized constructors,Cast,2
Coq root values,fun_power_series_conv_IR,shared binary core,App,436
Coq root values,fun_power_series_conv_IR,shared binary core,Lam,35
Coq root values,fun_power_series_conv_IR,shared binary core,Pi,18
Coq root values,fun_power_series_conv_IR,shared binary core,Let,2
Coq root values,herron_qin,all normalized constructors,App,3117
Coq root values,herron_qin,all normalized constructors,Lam,161
Coq root values,herron_qin,all normalized constructors,Let,150
Coq root values,herron_qin,all normalized constructors,Cast,56
Coq root values,herron_qin,all normalized constructors,Pi,47
Coq root values,herron_qin,all normalized constructors,Coq:Sort,1
Coq root values,herron_qin,shared binary core,App,3117
Coq root values,herron_qin,shared binary core,Lam,161
Coq root values,herron_qin,shared binary core,Let,150
Coq root values,herron_qin,shared binary core,Pi,47
Coq root values,inclusion_exclusion,all normalized constructors,App,2290
Coq root values,inclusion_exclusion,all normalized constructors,Lam,248
Coq root values,inclusion_exclusion,all normalized constructors,Pi,34
Coq root values,inclusion_exclusion,all normalized constructors,Coq:CaseMatch,66
