pair,source,side,tokens_scored,mean_nll,median_nll,p95_nll,claim_boundaries,mean_boundary_delta_nll,mean_boundary_excess_nll,mean_content_boundary_delta_nll,mean_content_boundary_excess_nll
pair_452bb14f,olympiads_ref,h,941,2.4276467105519024,2.378391822678173,5.000805118174824,8,-0.2999935855855619,-0.3110579138278396,-0.23348146621788424,-0.24454579446016195
pair_45b25f4e,olympiads_ref,a,215,2.3509980651013267,2.4067207147528955,5.324770173358705,1,-0.7130600867750228,-0.7428769737871806,0.29498899795325073,0.26517211094109283
pair_45b25f4e,olympiads_ref,h,173,2.6069854728144395,2.361073981270305,5.346011004553554,3,0.04257656803556668,0.04774303924072565,0.004311006394132881,0.00947747759929185
pair_47d24c12,olympiads_ref,a,137,2.6493128362797216,2.28046464187586,6.0366222348687355,1,-1.0567584411189601,-1.122531394240068,-0.07809599383651644,-0.14386894695762437
pair_47d24c12,olympiads_ref,h,89,3.05041249689945,3.1735676576418768,7.02666166970564,0,,,,
pair_4860e4db,olympiads,a,690,2.940653625357723,2.428574027476193,7.514390370098215,0,,,,
pair_4860e4db,olympiads,h,540,3.8959776864772198,2.6895746812773957,15.118255470794098,0,,,,
pair_48881c66,amc_aime,a,670,2.863678918745646,2.3130462169504007,7.639947580454435,8,-0.02053420538974829,0.0061894779229573135,0.3369374273836932,0.3636611106963988
pair_48881c66,amc_aime,h,924,4.098169141557527,2.979440527756628,13.470800006420102,2,0.8827308977351074,0.8766849682075313,0.7976357048988536,0.7915897753712775
pair_49366beb,cn_contest,a,150,4.274257873015261,2.719563773925681,19.665821537335543,1,-5.842369064518011,-5.846404333330376,-5.475577828039135,-5.479613096851501
pair_49366beb,cn_contest,h,158,4.4037694933669895,2.8679639732201667,19.665821537335543,0,,,,
pair_496aea54,number_theory,a,77,5.460670946353269,3.1732567099670588,19.536397472811746,0,,,,
pair_496aea54,number_theory,h,77,5.460670946353269,3.1732567099670588,19.536397472811746,0,,,,
pair_496f71fb,olympiads_ref,a,27,3.0722605313003304,2.068265467052448,9.654578348438923,0,,,,
pair_496f71fb,olympiads_ref,h,27,3.130172644710883,2.3343488254399656,9.654578348438923,0,,,,
pair_496fbd44,secondary_math,a,282,2.405695807057976,2.5297569888642224,4.93320728257142,2,-0.2970367634325761,-0.3352211034854634,-0.19750984257548265,-0.23569418262836994
pair_496fbd44,secondary_math,h,295,2.417340236661927,2.4838982663764275,5.192265993344243,2,-0.5789947718942587,-0.6229009992104357,-0.3799337345998688,-0.4238399619160458
pair_49737f41,math_test,a,305,3.094782097247004,2.5010240183833217,7.389038975851945,7,-0.8399867625194363,-0.9153102828191226,-1.3424150053694253,-1.4177385256691117
pair_49737f41,math_test,h,159,4.283524955580106,3.0127253541339796,16.283477744354308,3,0.576381059298891,0.4003979057621028,1.5779683896992565,1.4019852361624683
pair_49f9b472,math_train,a,238,2.351345241468524,2.247466089262805,5.728110241594974,3,0.300689939317484,0.3217422242443455,-0.10785278335668617,-0.08680049842982462
pair_49f9b472,math_train,h,250,2.516773243885011,2.3261571211376406,5.959301566992631,0,,,,
pair_4a23a011,number_theory,a,240,4.885796169373208,3.623308538945632,13.498645494783545,0,,,,
pair_4a23a011,number_theory,h,293,4.776596803596697,3.596113774785866,13.489219555085754,0,,,,
pair_4c39d86a,cn_contest,a,1015,2.6233512875727487,2.4092331152708812,5.814014704729872,29,0.21409891999549266,0.20338052098609505,0.20342952100051853,0.19271112199112095
pair_4c39d86a,cn_contest,h,1363,3.122117443574256,2.6088646053998232,8.212912149649133,38,0.30362174887434884,0.31085535793453833,0.07729734162602911,0.08453095068621862
pair_4c7ab903,cn_k12,a,280,2.5026520431911305,2.0980206773131385,5.449615425963979,7,-0.0831293789204809,-0.1079273073799333,-0.26479238004014677,-0.2895903084995992
pair_4c7ab903,cn_k12,h,317,2.878263753566747,2.3003617102690113,6.702081335747491,5,-0.7423457948938984,-0.77952233356807,-0.613464600159918,-0.6506411388340896
pair_4cffc8e6,amc_aime,a,2920,2.835828789007874,2.153390325135946,7.716447983281765,59,-0.031038151180952607,-0.08357075190099275,-0.13014170981237774,-0.1826743105324178
pair_4cffc8e6,amc_aime,h,808,3.2522412287359708,2.683738395205043,10.25349447347884,4,-0.3454572800198582,-0.3482459300977115,-0.7828396909357396,-0.7856283410135929
