pair,side,source,status,source_claims,root_nodes,root_node_digits,term_lets,matched,match_share,unambiguous_matched,term_uses,zero_term_use,one_term_use,multi_term_use,polarized_term_use,reuse_excess,potential_inlining_nodes
pair_0a0d7ef1,a,math_train,ok,0,69911,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_0a0d7ef1,h,math_train,ok,0,44801,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_0a26cff4,a,olympiads,ok,14,13989984,8,14,14,1.0,10,134,2,3,9,11,122,94216083
pair_0a26cff4,h,olympiads,ok,5,9342044,7,7,5,1.0,5,15,0,2,3,3,10,1869162
pair_0a314fcc,a,olympiads,ok,20,538516,6,20,20,1.0,4,31,2,9,9,11,13,106179
pair_0a314fcc,h,olympiads,ok,0,236856,6,2,0,1.0,0,0,0,0,0,0,0,0
pair_0a47d39b,a,cn_contest,ok,9,678187,6,9,9,1.0,7,17,2,3,4,6,10,585538
pair_0a47d39b,h,cn_contest,ok,2,155101,6,2,2,1.0,2,4,0,0,2,2,2,23474
pair_0a5fb768,a,math_train,ok,9,2655972,7,10,9,1.0,5,13,2,4,3,5,6,1381906
pair_0a5fb768,h,math_train,ok,8,6812093,7,18,5,0.625,4,4,1,4,0,1,0,0
pair_0a7bd2c7,a,secondary_math,ok,0,1429321,7,1,0,1.0,0,0,0,0,0,0,0,0
pair_0a7bd2c7,h,secondary_math,ok,0,1384551,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_0a891d0e,a,cn_contest,ok,2,219410,6,2,2,1.0,2,5,1,0,1,2,4,337196
pair_0a891d0e,h,cn_contest,ok,0,131801,6,1,0,1.0,0,0,0,0,0,0,0,0
pair_0a983018,a,olympiads_ref,ok,14,1254942,7,14,14,1.0,4,37,4,2,8,12,27,2426599
