in_alpha_powerlaw,in_alpha_xmin10,in_fit_status,in_lr_power_vs_exponential,in_lr_power_vs_lognormal,in_lr_power_vs_stretched_exponential,in_n_tail,in_p_power_vs_exponential,in_p_power_vs_lognormal,in_p_power_vs_stretched_exponential,in_xmin,name,out_alpha_powerlaw,out_alpha_xmin10,out_fit_status,out_lr_power_vs_exponential,out_lr_power_vs_lognormal,out_lr_power_vs_stretched_exponential,out_n_tail,out_p_power_vs_exponential,out_p_power_vs_lognormal,out_p_power_vs_stretched_exponential,out_xmin
,,insufficient tail variation,,,,5,,,,10,four_color,1.971882799970191,1.971882799970191,,3.475376514766317,-1.2685455276867539,-1.307300674881638,245,0.0005101367963869074,0.2046032029736935,0.19111061511133975,10
2.999999999999999,11.47092673847451,,-17.598939984063854,-18.709607880836472,-18.86604226390083,139,2.509777418291999e-69,4.1340542017713897e-78,2.1695113268124547e-79,10,fun_power_series_conv_IR,2.164467711082076,2.164467711082076,,5.672802471365447,-0.5005894951932722,0.5346268507412753,548,1.4048017914184325e-08,0.6166600570064658,0.5929079127233257,10
2.999999999999999,3.7848461245829834,,-11.504165369974627,-7.992075456372589,-8.99246660688407,860,1.2569944941433833e-30,1.3268578155774115e-15,2.417429704795583e-19,10,herron_qin,2.0464368049922683,2.0464368049922683,,5.267888506479657,-1.2827885972929658,-0.881957077871593,629,1.3800187671910016e-07,0.19956615008025802,0.3778000188912125,10
2.999999999999999,4.3107739260416515,,-4.144533074582338,-4.361886733140367,-4.831386245976815,205,3.405068098896534e-05,1.2894562441773376e-05,1.3558567787052506e-06,10,inclusion_exclusion,2.1481220010479642,2.1481220010479642,,4.756381978394948,-0.27185347609798427,0.7796908027538195,406,1.970933776934961e-06,0.7857346850577185,0.4355728937262372,10
,,insufficient tail variation,,,,0,,,,10,is_hexamy,,,insufficient tail variation,,,,4,,,,10
2.999999999999999,4.761370743885984,,-14.268107375967794,-9.062362538407687,-12.064916602149522,158,3.4583752380523266e-46,1.2765510688953946e-19,1.618262239306512e-33,10,isosceles_conga,2.1154092847296577,2.1154092847296577,,4.584901970490168,-1.2410831915882539,-1.0351820723636709,430,4.54199483361559e-06,0.21457501815752011,0.3005838895300258,10
2.999999999999999,6.218154469983854,,-44.637270927992326,-50.371523204471124,-54.91971257935591,1220,0.0,0.0,0.0,10,konigsberg_bridges,1.8330310319706846,1.8330310319706846,,5.165330529160857,-2.6498223153167637,-2.7100712920354155,1108,2.4001440750341777e-07,0.008053411328757426,0.006726874747486698,10
2.999999999999999,13.35060394331295,,-7.548386280713474,-7.369992310073424,-7.509154899365215,31,4.406842517770239e-14,1.7063787937437625e-13,5.951027709568792e-14,10,mul_adj_mx,2.0929130602170924,2.0929130602170924,,2.7262003932967325,-2.9375917173673316,-3.0316780868315027,475,0.006406808783345946,0.0033077231534741135,0.0024319841342565433,10
,,insufficient tail variation,,,,0,,,,10,nat_ind,,,insufficient tail variation,,,,0,,,,10
,,insufficient tail variation,,,,1,,,,10,postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,2.8296674124071846,2.8296674124071846,,1.2714215057440612,-0.18312083750713956,-0.03841093630431868,23,0.20357873584553032,0.8547032062540924,0.9693600415079353,10
2.999999999999999,4.102618861504079,,-23.5245976690526,-9.416937880361976,-10.676674341935287,186,2.2850702458034428e-122,4.64434784528675e-21,1.3087652420955348e-26,10,pytha_thm3,2.1896459909417647,2.1896459909417647,,4.820226467693712,-1.0024416982553768,2.53352909525794,350,1.4339534514615501e-06,0.3161303114725925,0.01129203654984341,10
2.999999999999999,3.7390933611582597,,-18.215746557300953,-9.916027098283012,-7.571707827097895,655,3.871013765945981e-74,3.545903929320767e-23,3.683491853731304e-14,10,pythagoras,1.937720674846117,1.937720674846117,,8.189548919795355,-0.5198920264454948,0.6864422041966952,508,2.622070358959035e-16,0.6031388331571375,0.4924342983611314,10
2.999999999999999,9.41625786587532,,-20.721869853479408,-18.527304569581773,-18.84131863287234,322,2.199746804213219e-95,1.2436250284767958e-76,3.4623150403531614e-79,10,reals_not_countable,2.3105091144023078,2.310509114402308,,5.689175553129543,-0.5299477624951335,0.43910781775938623,594,1.2765418191315917e-08,0.5961481494046668,0.6605834147060186,10
,,insufficient tail variation,,,,0,,,,10,sum_of_two_squares,,,insufficient tail variation,,,,7,,,,10
2.999999999999999,4.353833255034589,,-5.257114769805761,-5.032881596113411,-5.777768752343797,280,1.4633299705166626e-07,4.831615679509422e-07,7.569774916713752e-09,10,triangle,2.1428222406160446,2.1428222406160446,,4.333974308144381,-0.7296267172346399,-0.164692201442552,426,1.4644127268935417e-05,0.4656183865767659,0.8691862555092507,10
