group,name,mode,alpha10
ai_dsv2,mathd_numbertheory_320,term,2.0546436767483978
ai_dsv2,mathd_numbertheory_321,term,1.997932347085166
ai_dsv2,mathd_numbertheory_328,term,2.0172353797524574
ai_dsv2,mathd_numbertheory_341,term,2.0124361781775972
ai_dsv2,mathd_numbertheory_342,term,1.9322354715848122
ai_dsv2,mathd_numbertheory_343,term,2.0241141904405033
ai_dsv2,mathd_numbertheory_345,term,1.9416545720362157
ai_dsv2,mathd_numbertheory_34,term,2.023292234538791
ai_dsv2,mathd_numbertheory_353,term,2.064151792872141
ai_dsv2,mathd_numbertheory_3,term,2.079834571462233
ai_dsv2,mathd_numbertheory_427,term,2.1130102874741388
ai_dsv2,mathd_numbertheory_430,term,2.2054267911602694
ai_dsv2,mathd_numbertheory_435,term,1.9728618583071045
ai_dsv2,mathd_numbertheory_447,term,1.8403666482082337
ai_dsv2,mathd_numbertheory_457,term,2.0624708342632987
ai_dsv2,mathd_numbertheory_483,term,2.0877585842985518
ai_dsv2,mathd_numbertheory_495,term,2.442858102287852
ai_dsv2,mathd_numbertheory_517,term,1.9119527678743493
ai_dsv2,mathd_numbertheory_521,term,2.0426176020686597
ai_dsv2,mathd_numbertheory_551,term,1.9328810386010713
ai_dsv2,mathd_numbertheory_552,term,1.9796818902608666
ai_dsv2,mathd_numbertheory_559,term,2.061391908400079
ai_dsv2,mathd_numbertheory_582,term,2.0548954286052625
ai_dsv2,mathd_numbertheory_5,term,2.289424562994908
ai_dsv2,mathd_numbertheory_618,term,2.053774049420378
ai_dsv2,mathd_numbertheory_66,term,2.069529352930182
ai_dsv2,mathd_numbertheory_728,term,2.0955387120105193
ai_dsv2,mathd_numbertheory_765,term,2.033810210918562
ai_dsv2,mathd_numbertheory_769,term,1.9274622029146606
ai_dsv2,mathd_numbertheory_85,term,1.9512571351646875
ai_dsv2,mathd_numbertheory_99,term,2.020231266499973
ai_dsv2,numbertheory_2pownm1prime_nprime,term,2.2202821916984847
ai_dsv2,numbertheory_3pow2pownm1mod2pownp3eq2pownp2,term,2.241393057934769
ai_dsv2,numbertheory_4x3m7y3neq2003,term,2.071182537469423
ai_dsv2,numbertheory_aoddbdiv4asqpbsqmod8eq1,term,2.230031397798993
ai_dsv2,numbertheory_fxeq4powxp6powxp9powx_f2powmdvdf2pown,term,2.2210557624591902
ai_dsv2,numbertheory_notequiv2i2jasqbsqdiv8,term,2.036174100494706
ai_dsv2,numbertheory_x5neqy2p4,term,2.1660657444397984
ai_kimina,aime_1983_p1,term,2.4118064178123557
ai_kimina,aime_1983_p2,term,2.1413650634665187
ai_kimina,aime_1983_p3,term,2.3742526067384846
ai_kimina,aime_1984_p1,term,2.412469461926009
ai_kimina,aime_1984_p7,term,2.7858846623782165
ai_kimina,aime_1987_p5,term,2.1092741756098894
ai_kimina,aime_1988_p8,term,2.330235342298046
ai_kimina,aime_1989_p8,term,2.513733867707853
ai_kimina,aime_1990_p15,term,2.41470161501437
ai_kimina,aime_1990_p4,term,2.2882906273278927
ai_kimina,aime_1991_p9,term,2.3706432796636365
ai_kimina,aime_1994_p3,term,2.352176975287118
ai_kimina,aime_1997_p9,term,2.4611718801553533
ai_kimina,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7,term,2.155861280577504
ai_kimina,algebra_9onxpypzleqsum2onxpy,term,2.5149231833904944
ai_kimina,algebra_absapbon1pabsapbleqsumabsaon1pabsa,term,2.321823076714789
ai_kimina,algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1,term,2.072939819887753
ai_kimina,algebra_amgm_sumasqdivbgeqsuma,term,2.230000495110441
ai_kimina,algebra_apbon2pownleqapownpbpowon2,term,2.178813000123969
ai_kimina,algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3,term,2.3923141166958524
ai_kimina,algebra_bleqa_apbon2msqrtableqambsqon8b,term,2.474479027502956
ai_kimina,algebra_others_exirrpowirrrat,term,2.095185214380619
ai_kimina,algebra_sqineq_at2malt1,term,2.0653083056128256
ai_kimina,algebra_sqineq_unitcircatbpabsamblt1,term,2.2203062718641426
ai_kimina,algebra_sqineq_unitcircatbpamblt1,term,2.1363071424767717
ai_kimina,amc12_2000_p12,term,2.0231999425785974
ai_kimina,amc12_2000_p20,term,2.531272253542449
ai_kimina,amc12_2000_p6,term,2.163743485578819
ai_kimina,amc12_2001_p21,term,2.3613117014656844
ai_kimina,amc12a_2002_p13,term,2.34485801122588
ai_kimina,amc12a_2002_p6,term,2.0635022365842604
ai_kimina,amc12a_2003_p5,term,2.094133784988557
ai_kimina,amc12a_2008_p25,term,1.8367469523460942
ai_kimina,amc12a_2009_p6,term,2.017605563621931
ai_kimina,amc12a_2009_p7,term,2.3784878833714904
ai_kimina,amc12a_2013_p4,term,2.0182970651551635
ai_kimina,amc12a_2020_p4,term,2.154004326451793
ai_kimina,amc12a_2021_p14,term,1.8158893486811756
ai_kimina,amc12a_2021_p18,term,2.1901905590255524
ai_kimina,amc12a_2021_p3,term,2.074030074862542
ai_kimina,amc12a_2021_p8,term,2.1353699762546947
ai_kimina,amc12a_2021_p9,term,1.9336180528854767
ai_kimina,amc12b_2002_p19,term,2.496635101658571
ai_kimina,amc12b_2002_p2,term,1.9460657918266708
ai_kimina,amc12b_2002_p7,term,2.190460990703422
ai_kimina,amc12b_2020_p13,term,2.4781430891541065
ai_kimina,amc12b_2020_p21,term,2.203531018188867
ai_kimina,amc12b_2020_p22,term,2.1540950485711834
ai_kimina,amc12b_2020_p2,term,2.056506883303993
ai_kimina,amc12b_2020_p6,term,1.9391820173392793
ai_kimina,amc12b_2021_p18,term,2.3301355693329713
ai_kimina,amc12b_2021_p1,term,2.229443729079982
ai_kimina,amc12b_2021_p3,term,2.2746797770244314
ai_kimina,amc12b_2021_p4,term,2.2010220824952165
ai_kimina,amc12b_2021_p9,term,2.3822715473627456
ai_kimina,imo_1959_p1,term,2.0774373266146475
ai_kimina,imo_1960_p2,term,2.4722601000180005
ai_kimina,imo_1962_p2,term,2.393014961919836
ai_kimina,imo_1963_p5,term,2.2953627820440037
ai_kimina,imo_1964_p2,term,2.1195885178850227
ai_kimina,imo_1968_p5_1,term,2.3216051231264503
ai_kimina,imo_1981_p6,term,2.2241864326965066
ai_kimina,imo_1983_p6,term,2.2366404461767844
ai_kimina,induction_11div10tonmn1ton,term,2.0900112080447144
ai_kimina,induction_12dvd4expnp1p20,term,2.0681803393456644
ai_kimina,induction_1pxpownlt1pnx,term,2.1151547603248697
ai_kimina,induction_nfactltnexpnm1ngt3,term,2.4937240280311137
ai_kimina,induction_pprime_pdvdapowpma,term,2.0868067421580183
ai_kimina,mathd_algebra_107,term,2.0498153161175456
ai_kimina,mathd_algebra_113,term,1.9978697748018084
ai_kimina,mathd_algebra_114,term,2.0970869428623518
ai_kimina,mathd_algebra_125,term,2.1240474385369983
ai_kimina,mathd_algebra_129,term,2.0138693133722207
ai_kimina,mathd_algebra_137,term,2.0668865024508976
ai_kimina,mathd_algebra_139,term,2.0838349853586076
ai_kimina,mathd_algebra_141,term,2.0117376537666196
ai_kimina,mathd_algebra_142,term,2.109923881207721
ai_kimina,mathd_algebra_143,term,2.0730722673655766
ai_kimina,mathd_algebra_148,term,2.0299490885119598
ai_kimina,mathd_algebra_153,term,2.1206222495775275
ai_kimina,mathd_algebra_156,term,2.3216152748419967
ai_kimina,mathd_algebra_158,term,2.0991669325447946
ai_kimina,mathd_algebra_160,term,2.10169689375632
ai_kimina,mathd_algebra_170,term,2.2700781034941553
ai_kimina,mathd_algebra_171,term,2.0444956102742022
ai_kimina,mathd_algebra_176,term,2.0320157950009055
ai_kimina,mathd_algebra_17,term,2.2678434572572908
ai_kimina,mathd_algebra_184,term,2.209748819646053
ai_kimina,mathd_algebra_188,term,2.0745617368395184
ai_kimina,mathd_algebra_196,term,2.0261791902687003
ai_kimina,mathd_algebra_208,term,2.1275655758824303
ai_kimina,mathd_algebra_209,term,2.083798530545081
ai_kimina,mathd_algebra_215,term,2.2462062063383224
ai_kimina,mathd_algebra_246,term,2.0457331448540343
ai_kimina,mathd_algebra_24,term,2.081116175808565
ai_kimina,mathd_algebra_263,term,2.034853321877713
ai_kimina,mathd_algebra_270,term,2.0570111300677407
ai_kimina,mathd_algebra_276,term,2.3490825001894793
ai_kimina,mathd_algebra_288,term,2.235392387601129
ai_kimina,mathd_algebra_289,term,2.1859409913291654
ai_kimina,mathd_algebra_293,term,1.9983158490539497
ai_kimina,mathd_algebra_296,term,1.993673121351764
ai_kimina,mathd_algebra_302,term,2.0409827856399487
ai_kimina,mathd_algebra_304,term,1.9517826029354972
ai_kimina,mathd_algebra_313,term,2.0923953029467883
ai_kimina,mathd_algebra_314,term,1.8874851918848754
ai_kimina,mathd_algebra_329,term,2.1532327860255633
ai_kimina,mathd_algebra_332,term,2.177722517935651
ai_kimina,mathd_algebra_338,term,2.302687944765829
ai_kimina,mathd_algebra_33,term,2.211017556697194
ai_kimina,mathd_algebra_342,term,2.219195585110125
ai_kimina,mathd_algebra_346,term,2.0430367365979185
ai_kimina,mathd_algebra_354,term,2.137805331312488
ai_kimina,mathd_algebra_359,term,2.007247150299091
ai_kimina,mathd_algebra_362,term,2.2074168770267617
ai_kimina,mathd_algebra_388,term,2.1470726959120414
ai_kimina,mathd_algebra_392,term,2.2395752214827893
ai_kimina,mathd_algebra_398,term,2.065275405411864
ai_kimina,mathd_algebra_400,term,2.0988995146537794
ai_kimina,mathd_algebra_412,term,2.0181954415403016
ai_kimina,mathd_algebra_419,term,1.9996285323008793
ai_kimina,mathd_algebra_427,term,2.1186890374935627
ai_kimina,mathd_algebra_432,term,2.019550700915664
ai_kimina,mathd_algebra_440,term,2.08210340859194
ai_kimina,mathd_algebra_441,term,2.0599155188617777
ai_kimina,mathd_algebra_44,term,2.127900648536036
ai_kimina,mathd_algebra_452,term,2.464493856562448
ai_kimina,mathd_algebra_459,term,2.373199515123992
ai_kimina,mathd_algebra_478,term,2.1070958692698953
ai_kimina,mathd_algebra_484,term,2.0915566403969974
ai_kimina,mathd_algebra_487,term,2.323198305631658
ai_kimina,mathd_algebra_513,term,2.085798032438652
ai_kimina,mathd_algebra_598,term,2.1134989143069953
ai_kimina,mathd_algebra_756,term,2.0929951421743107
ai_kimina,mathd_algebra_76,term,2.0109843970454166
ai_kimina,mathd_algebra_80,term,2.0951633504413563
ai_kimina,mathd_numbertheory_100,term,2.0061742440132546
ai_kimina,mathd_numbertheory_1124,term,2.0855099541163202
