src,dst,cls,sub,load,capacity
830,823,machine,SimpleRewrites,0,201472
3819,3758,machine,SimpleRewrites,6,6276
3920,3863,machine,SimpleRewrites,0,7314
214,1456,machine,VampireProven,0,10116
2022,2020,machine,SimpleRewrites,1,7022224
2616,2615,machine,SimpleRewrites,0,7022224
4138,4139,machine,TrivialBruteforce,3,490884
427,1248,machine,VampireProven,0,4707
3550,3974,machine,VampireProven,1,2979740
2592,2543,machine,SimpleRewrites,0,7022224
3418,40,machine,MagmaEgg,108,2979740
2072,2070,machine,SimpleRewrites,53,570121
3611,3603,machine,SimpleRewrites,1,807177
4560,4521,machine,EquationSearch,3,206403
2621,2620,machine,SimpleRewrites,0,7022224
1268,1267,machine,SimpleRewrites,0,1902338
4516,4508,machine,VampireProven,0,91755
3321,3315,machine,SimpleRewrites,0,7707
3062,37,machine,VampireProven,0,300256
853,831,machine,SimpleRewrites,0,4710
3969,4037,machine,TrivialBruteforce,0,2979740
3970,3346,machine,VampireProven,4,2979740
4099,4079,machine,SimpleRewrites,0,9380
3098,3090,machine,SimpleRewrites,0,10236
598,524,machine,SimpleRewrites,333,7022224
3369,4145,machine,MagmaEgg,2,11790
278,276,machine,SimpleRewrites,2,7022224
374,3914,machine,TrivialBruteforce,5,7476
3175,269,machine,VampireProven,1,79850
2061,2035,machine,SimpleRewrites,0,4938
342,311,machine,SimpleRewrites,0,30420
4046,4061,machine,TrivialBruteforce,0,2979740
4180,4255,machine,TrivialBruteforce,1,2979740
127,1221,machine,TrivialBruteforce,57,7022224
424,1020,machine,VampireProven,0,6364
2185,2052,machine,SimpleRewrites,4,6868
4262,4220,machine,SimpleRewrites,6,404096
2461,204,machine,VampireProven,2,14168
2488,2472,machine,SimpleRewrites,6,84400
4112,4100,machine,SimpleRewrites,0,117303
3774,3773,machine,SimpleRewrites,0,2979740
1164,724,machine,MagmaEgg,0,450408
42,4676,machine,TrivialBruteforce,6,5964
2233,2232,machine,TrivialBruteforce,0,7022224
1593,881,machine,VampireProven,1,4938
4000,3882,machine,SimpleRewrites,0,13788
1982,1081,machine,VampireProven,2,6908
443,439,machine,SimpleRewrites,2,4854
2754,2743,machine,SimpleRewrites,0,4524
1404,4039,machine,VampireProven,2,26976
4029,4032,machine,TrivialBruteforce,0,2979740
1418,1417,machine,SimpleRewrites,0,7022224
1791,1682,machine,SimpleRewrites,0,7022224
1426,1425,machine,SimpleRewrites,0,3470
3629,3621,machine,SimpleRewrites,0,2979740
3717,328,machine,MagmaEgg,38,89670
356,341,machine,SimpleRewrites,41,2979740
4087,4109,machine,VampireProven,0,103842
3294,3282,machine,SimpleRewrites,0,103788
3704,3668,machine,SimpleRewrites,2,11544
2225,2223,machine,SimpleRewrites,1,7022224
1704,2052,machine,VampireProven,1,6732
1779,1690,machine,SimpleRewrites,2,5247
328,3337,machine,TrivialBruteforce,16,52998
3428,3415,machine,SimpleRewrites,0,2979740
461,452,machine,SimpleRewrites,16,1902338
897,882,machine,SimpleRewrites,1,4515
833,103,machine,VampireProven,0,12592
30,1745,machine,TrivialBruteforce,13,12944
2166,2089,machine,SimpleRewrites,2,7730
4651,4641,machine,SimpleRewrites,0,13881
1108,1019,machine,SimpleRewrites,0,3432
2885,2864,machine,SimpleRewrites,0,5163
4430,4403,machine,SimpleRewrites,0,87030
2570,2723,machine,VampireProven,2,75456
2993,282,machine,VampireProven,0,4704
610,609,machine,TrivialBruteforce,0,7022224
3235,3182,machine,SimpleRewrites,0,7022224
3427,3422,machine,SimpleRewrites,40,2979740
2769,2732,machine,SimpleRewrites,0,17721
2400,2338,machine,SimpleRewrites,0,7022224
167,1486,machine,TrivialBruteforce,21,68954
2275,2264,machine,SimpleRewrites,1,965425
4429,4392,machine,SimpleRewrites,0,31040
4219,4207,machine,SimpleRewrites,1,2979740
3533,3521,machine,SimpleRewrites,3,7134
4264,4187,machine,SimpleRewrites,10,2979740
1723,1717,machine,SimpleRewrites,1,13456
2234,2229,machine,SimpleRewrites,32,7022224
3241,3129,machine,SimpleRewrites,0,1902338
3077,306,machine,VampireProven,0,5355
253,244,machine,SimpleRewrites,12,7022224
4406,4671,machine,TrivialBruteforce,2,13538
2664,2645,machine,SimpleRewrites,2,5178
366,4621,machine,TrivialBruteforce,4,7026
3632,3656,machine,TrivialBruteforce,9,2979740
4633,4675,machine,TrivialBruteforce,0,66556
4209,4324,machine,MagmaEgg,2,13545
1800,1788,machine,SimpleRewrites,6,965425
3092,3057,machine,SimpleRewrites,0,5346
809,733,machine,SimpleRewrites,2,7022224
2646,2643,machine,SimpleRewrites,0,3330
3073,3072,machine,SimpleRewrites,0,388968
2553,2445,machine,SimpleRewrites,0,15740
2889,2854,machine,SimpleRewrites,0,5157
4242,4688,machine,VampireProven,3,16121
3455,0,machine,GeneratedOther,0,2822
3459,3458,machine,SimpleRewrites,0,7023
4295,4290,machine,SimpleRewrites,1,4760
734,718,machine,SimpleRewrites,0,570121
2749,2746,machine,SimpleRewrites,0,7022224
2024,2022,machine,TrivialBruteforce,0,7022224
1636,1628,machine,SimpleRewrites,0,3896
467,2906,machine,VampireProven,7,7022224
1409,1390,machine,SimpleRewrites,0,965425
1552,1,machine,MagmaEgg,0,7022224
4006,3413,machine,MagmaEgg,6,11808
1030,1024,machine,SimpleRewrites,0,17900
1460,1430,machine,SimpleRewrites,3,5487
3539,3513,machine,SimpleRewrites,3,404096
1603,1552,machine,SimpleRewrites,0,7022224
4641,4634,machine,SimpleRewrites,1,4790
3990,3989,machine,SimpleRewrites,40,2979740
527,418,machine,SimpleRewrites,5,5337
3393,3453,machine,TrivialBruteforce,0,2979740
2161,1427,machine,VampireProven,0,4503
1305,1304,machine,SimpleRewrites,0,7022224
3992,3917,machine,SimpleRewrites,0,6912
18,12,machine,SimpleRewrites,82,965425
4327,4320,machine,SimpleRewrites,2,3968
2879,2849,machine,SimpleRewrites,0,11585
4142,4134,machine,TrivialBruteforce,1,13002
2457,2441,machine,SimpleRewrites,0,965425
2397,2336,machine,SimpleRewrites,0,64370
1067,1264,machine,VampireProven,0,150816
2131,2127,machine,SimpleRewrites,2,4548
3210,758,machine,MagmaEgg,0,450408
463,22,machine,VampireProven,2,13851
2157,2153,machine,SimpleRewrites,40,7022224
2009,1958,machine,SimpleRewrites,128,7022224
1737,4618,machine,VampireProven,0,11760
2419,2272,machine,SimpleRewrites,2,31360
4148,41,machine,EquationSearch,80,378928
30,3819,machine,TrivialBruteforce,10,9708
2345,2341,machine,SimpleRewrites,0,7022224
1456,1453,machine,SimpleRewrites,0,5508
4266,4223,machine,SimpleRewrites,9,2979740
2963,2948,machine,SimpleRewrites,0,4722
2230,2163,machine,SimpleRewrites,0,68816
414,47,machine,VampireProven,1,79850
701,699,machine,SimpleRewrites,0,7022224
2023,1978,machine,SimpleRewrites,7,84400
379,3746,machine,TrivialBruteforce,27,807177
2619,2416,machine,EquationSearch,4,7022224
4240,4239,machine,SimpleRewrites,4,2979740
514,1,machine,GeneratedOther,0,7022224
3617,3629,machine,TrivialBruteforce,0,2979740
4453,4442,machine,SimpleRewrites,0,5838
